행정구역,2019년09월_전월인구수_남자인구수,2019년09월_전월인구수_여자인구수,2019년09월_전월인구수_계,2019년09월_당월인구수_남자인구수,2019년09월_당월인구수_여자인구수,2019년09월_당월인구수_계,2019년09월_인구증감_남자인구수,2019년09월_인구증감_여자인구수,2019년09월_인구증감_계,2019년10월_전월인구수_남자인구수,2019년10월_전월인구수_여자인구수,2019년10월_전월인구수_계,2019년10월_당월인구수_남자인구수,2019년10월_당월인구수_여자인구수,2019년10월_당월인구수_계,2019년10월_인구증감_남자인구수,2019년10월_인구증감_여자인구수,2019년10월_인구증감_계,2019년11월_전월인구수_남자인구수,2019년11월_전월인구수_여자인구수,2019년11월_전월인구수_계,2019년11월_당월인구수_남자인구수,2019년11월_당월인구수_여자인구수,2019년11월_당월인구수_계,2019년11월_인구증감_남자인구수,2019년11월_인구증감_여자인구수,2019년11월_인구증감_계,2019년12월_전월인구수_남자인구수,2019년12월_전월인구수_여자인구수,2019년12월_전월인구수_계,2019년12월_당월인구수_남자인구수,2019년12월_당월인구수_여자인구수,2019년12월_당월인구수_계,2019년12월_인구증감_남자인구수,2019년12월_인구증감_여자인구수,2019년12월_인구증감_계,2020년01월_전월인구수_남자인구수,2020년01월_전월인구수_여자인구수,2020년01월_전월인구수_계,2020년01월_당월인구수_남자인구수,2020년01월_당월인구수_여자인구수,2020년01월_당월인구수_계,2020년01월_인구증감_남자인구수,2020년01월_인구증감_여자인구수,2020년01월_인구증감_계,2020년02월_전월인구수_남자인구수,2020년02월_전월인구수_여자인구수,2020년02월_전월인구수_계,2020년02월_당월인구수_남자인구수,2020년02월_당월인구수_여자인구수,2020년02월_당월인구수_계,2020년02월_인구증감_남자인구수,2020년02월_인구증감_여자인구수,2020년02월_인구증감_계,2020년03월_전월인구수_남자인구수,2020년03월_전월인구수_여자인구수,2020년03월_전월인구수_계,2020년03월_당월인구수_남자인구수,2020년03월_당월인구수_여자인구수,2020년03월_당월인구수_계,2020년03월_인구증감_남자인구수,2020년03월_인구증감_여자인구수,2020년03월_인구증감_계,2020년04월_전월인구수_남자인구수,2020년04월_전월인구수_여자인구수,2020년04월_전월인구수_계,2020년04월_당월인구수_남자인구수,2020년04월_당월인구수_여자인구수,2020년04월_당월인구수_계,2020년04월_인구증감_남자인구수,2020년04월_인구증감_여자인구수,2020년04월_인구증감_계,2020년05월_전월인구수_남자인구수,2020년05월_전월인구수_여자인구수,2020년05월_전월인구수_계,2020년05월_당월인구수_남자인구수,2020년05월_당월인구수_여자인구수,2020년05월_당월인구수_계,2020년05월_인구증감_남자인구수,2020년05월_인구증감_여자인구수,2020년05월_인구증감_계,2020년06월_전월인구수_남자인구수,2020년06월_전월인구수_여자인구수,2020년06월_전월인구수_계,2020년06월_당월인구수_남자인구수,2020년06월_당월인구수_여자인구수,2020년06월_당월인구수_계,2020년06월_인구증감_남자인구수,2020년06월_인구증감_여자인구수,2020년06월_인구증감_계,2020년07월_전월인구수_남자인구수,2020년07월_전월인구수_여자인구수,2020년07월_전월인구수_계,2020년07월_당월인구수_남자인구수,2020년07월_당월인구수_여자인구수,2020년07월_당월인구수_계,2020년07월_인구증감_남자인구수,2020년07월_인구증감_여자인구수,2020년07월_인구증감_계,2020년08월_전월인구수_남자인구수,2020년08월_전월인구수_여자인구수,2020년08월_전월인구수_계,2020년08월_당월인구수_남자인구수,2020년08월_당월인구수_여자인구수,2020년08월_당월인구수_계,2020년08월_인구증감_남자인구수,2020년08월_인구증감_여자인구수,2020년08월_인구증감_계,2020년09월_전월인구수_남자인구수,2020년09월_전월인구수_여자인구수,2020년09월_전월인구수_계,2020년09월_당월인구수_남자인구수,2020년09월_당월인구수_여자인구수,2020년09월_당월인구수_계,2020년09월_인구증감_남자인구수,2020년09월_인구증감_여자인구수,2020년09월_인구증감_계,2020년10월_전월인구수_남자인구수,2020년10월_전월인구수_여자인구수,2020년10월_전월인구수_계,2020년10월_당월인구수_남자인구수,2020년10월_당월인구수_여자인구수,2020년10월_당월인구수_계,2020년10월_인구증감_남자인구수,2020년10월_인구증감_여자인구수,2020년10월_인구증감_계,2020년11월_전월인구수_남자인구수,2020년11월_전월인구수_여자인구수,2020년11월_전월인구수_계,2020년11월_당월인구수_남자인구수,2020년11월_당월인구수_여자인구수,2020년11월_당월인구수_계,2020년11월_인구증감_남자인구수,2020년11월_인구증감_여자인구수,2020년11월_인구증감_계,2020년12월_전월인구수_남자인구수,2020년12월_전월인구수_여자인구수,2020년12월_전월인구수_계,2020년12월_당월인구수_남자인구수,2020년12월_당월인구수_여자인구수,2020년12월_당월인구수_계,2020년12월_인구증감_남자인구수,2020년12월_인구증감_여자인구수,2020년12월_인구증감_계,2021년01월_전월인구수_남자인구수,2021년01월_전월인구수_여자인구수,2021년01월_전월인구수_계,2021년01월_당월인구수_남자인구수,2021년01월_당월인구수_여자인구수,2021년01월_당월인구수_계,2021년01월_인구증감_남자인구수,2021년01월_인구증감_여자인구수,2021년01월_인구증감_계,2021년02월_전월인구수_남자인구수,2021년02월_전월인구수_여자인구수,2021년02월_전월인구수_계,2021년02월_당월인구수_남자인구수,2021년02월_당월인구수_여자인구수,2021년02월_당월인구수_계,2021년02월_인구증감_남자인구수,2021년02월_인구증감_여자인구수,2021년02월_인구증감_계,2021년03월_전월인구수_남자인구수,2021년03월_전월인구수_여자인구수,2021년03월_전월인구수_계,2021년03월_당월인구수_남자인구수,2021년03월_당월인구수_여자인구수,2021년03월_당월인구수_계,2021년03월_인구증감_남자인구수,2021년03월_인구증감_여자인구수,2021년03월_인구증감_계,2021년04월_전월인구수_남자인구수,2021년04월_전월인구수_여자인구수,2021년04월_전월인구수_계,2021년04월_당월인구수_남자인구수,2021년04월_당월인구수_여자인구수,2021년04월_당월인구수_계,2021년04월_인구증감_남자인구수,2021년04월_인구증감_여자인구수,2021년04월_인구증감_계,2021년05월_전월인구수_남자인구수,2021년05월_전월인구수_여자인구수,2021년05월_전월인구수_계,2021년05월_당월인구수_남자인구수,2021년05월_당월인구수_여자인구수,2021년05월_당월인구수_계,2021년05월_인구증감_남자인구수,2021년05월_인구증감_여자인구수,2021년05월_인구증감_계,2021년06월_전월인구수_남자인구수,2021년06월_전월인구수_여자인구수,2021년06월_전월인구수_계,2021년06월_당월인구수_남자인구수,2021년06월_당월인구수_여자인구수,2021년06월_당월인구수_계,2021년06월_인구증감_남자인구수,2021년06월_인구증감_여자인구수,2021년06월_인구증감_계,2021년07월_전월인구수_남자인구수,2021년07월_전월인구수_여자인구수,2021년07월_전월인구수_계,2021년07월_당월인구수_남자인구수,2021년07월_당월인구수_여자인구수,2021년07월_당월인구수_계,2021년07월_인구증감_남자인구수,2021년07월_인구증감_여자인구수,2021년07월_인구증감_계,2021년08월_전월인구수_남자인구수,2021년08월_전월인구수_여자인구수,2021년08월_전월인구수_계,2021년08월_당월인구수_남자인구수,2021년08월_당월인구수_여자인구수,2021년08월_당월인구수_계,2021년08월_인구증감_남자인구수,2021년08월_인구증감_여자인구수,2021년08월_인구증감_계,2021년09월_전월인구수_남자인구수,2021년09월_전월인구수_여자인구수,2021년09월_전월인구수_계,2021년09월_당월인구수_남자인구수,2021년09월_당월인구수_여자인구수,2021년09월_당월인구수_계,2021년09월_인구증감_남자인구수,2021년09월_인구증감_여자인구수,2021년09월_인구증감_계
경기도  (4100000000),"6,638,077","6,555,866","13,193,943","6,644,899","6,562,320","13,207,219","6,822","6,454","13,276","6,644,899","6,562,320","13,207,219","6,650,459","6,568,453","13,218,912","5,560","6,133","11,693","6,650,459","6,568,453","13,218,912","6,654,571","6,573,606","13,228,177","4,112","5,153","9,265","6,654,571","6,573,606","13,228,177","6,659,995","6,579,671","13,239,666","5,424","6,065","11,489","6,659,995","6,579,671","13,239,666","6,665,310","6,585,058","13,250,368","5,315","5,387","10,702","6,665,310","6,585,058","13,250,368","6,672,706","6,592,671","13,265,377","7,396","7,613","15,009","6,672,706","6,592,671","13,265,377","6,684,759","6,604,216","13,288,975","12,053","11,545","23,598","6,684,759","6,604,216","13,288,975","6,696,531","6,614,723","13,311,254","11,772","10,507","22,279","6,696,531","6,614,723","13,311,254","6,703,603","6,620,438","13,324,041","7,072","5,715","12,787","6,703,603","6,620,438","13,324,041","6,711,047","6,626,973","13,338,020","7,444","6,535","13,979","6,711,047","6,626,973","13,338,020","6,717,812","6,634,079","13,351,891","6,765","7,106","13,871","6,717,812","6,634,079","13,351,891","6,727,226","6,643,488","13,370,714","9,414","9,409","18,823","6,727,226","6,643,488","13,370,714","6,736,077","6,652,408","13,388,485","8,851","8,920","17,771","6,736,077","6,652,408","13,388,485","6,741,849","6,658,766","13,400,615","5,772","6,358","12,130","6,741,849","6,658,766","13,400,615","6,748,061","6,665,398","13,413,459","6,212","6,632","12,844","6,713,886","6,632,038","13,345,924","6,754,469","6,672,545","13,427,014","40,583","40,507","81,090","6,754,469","6,672,545","13,427,014","6,765,862","6,683,637","13,449,499","11,393","11,092","22,485","6,765,862","6,683,637","13,449,499","6,777,066","6,694,692","13,471,758","11,204","11,055","22,259","6,777,066","6,694,692","13,471,758","6,776,866","6,688,971","13,465,837",-200,"-5,721","-5,921","6,776,866","6,688,971","13,465,837","6,784,466","6,695,332","13,479,798","7,600","6,361","13,961","6,784,466","6,695,332","13,479,798","6,789,327","6,699,583","13,488,910","4,861","4,251","9,112","6,789,327","6,699,583","13,488,910","6,795,088","6,705,600","13,500,688","5,761","6,017","11,778","6,795,088","6,705,600","13,500,688","6,801,008","6,711,859","13,512,867","5,920","6,259","12,179","6,801,008","6,711,859","13,512,867","6,810,105","6,720,414","13,530,519","9,097","8,555","17,652","6,810,105","6,720,414","13,530,519","6,816,449","6,725,835","13,542,284","6,344","5,421","11,765"
경기도 수원시 (4111000000),"601,973","593,345","1,195,318","602,477","593,597","1,196,074",504,252,756,"602,477","593,597","1,196,074","601,900","593,304","1,195,204",-577,-293,-870,"601,900","593,304","1,195,204","601,697","593,137","1,194,834",-203,-167,-370,"601,697","593,137","1,194,834","601,410","593,055","1,194,465",-287,-82,-369,"601,410","593,055","1,194,465","601,097","592,797","1,193,894",-313,-258,-571,"601,097","592,797","1,193,894","600,958","592,522","1,193,480",-139,-275,-414,"600,958","592,522","1,193,480","600,550","592,212","1,192,762",-408,-310,-718,"600,550","592,212","1,192,762","600,616","592,006","1,192,622",66,-206,-140,"600,616","592,006","1,192,622","600,154","591,864","1,192,018",-462,-142,-604,"600,154","591,864","1,192,018","599,868","591,674","1,191,542",-286,-190,-476,"599,868","591,674","1,191,542","599,719","591,525","1,191,244",-149,-149,-298,"599,719","591,525","1,191,244","599,101","590,973","1,190,074",-618,-552,"-1,170","599,101","590,973","1,190,074","598,549","590,377","1,188,926",-552,-596,"-1,148","598,549","590,377","1,188,926","597,863","589,775","1,187,638",-686,-602,"-1,288","597,863","589,775","1,187,638","597,612","589,541","1,187,153",-251,-234,-485,"597,612","589,541","1,187,153","597,076","589,002","1,186,078",-536,-539,"-1,075","597,076","589,002","1,186,078","596,918","588,823","1,185,741",-158,-179,-337,"596,918","588,823","1,185,741","597,254","589,019","1,186,273",336,196,532,"597,254","589,019","1,186,273","597,390","588,594","1,185,984",136,-425,-289,"597,390","588,594","1,185,984","597,136","588,396","1,185,532",-254,-198,-452,"597,136","588,396","1,185,532","596,759","588,163","1,184,922",-377,-233,-610,"596,759","588,163","1,184,922","596,269","587,941","1,184,210",-490,-222,-712,"596,269","587,941","1,184,210","595,883","587,732","1,183,615",-386,-209,-595,"595,883","587,732","1,183,615","595,810","587,609","1,183,419",-73,-123,-196,"595,810","587,609","1,183,419","596,543","588,211","1,184,754",733,602,"1,335"
경기도 수원시 장안구 (4111100000),"140,915","139,033","279,948","140,958","138,861","279,819",43,-172,-129,"140,958","138,861","279,819","140,663","138,555","279,218",-295,-306,-601,"140,663","138,555","279,218","140,443","138,355","278,798",-220,-200,-420,"140,443","138,355","278,798","140,218","138,159","278,377",-225,-196,-421,"140,218","138,159","278,377","139,934","137,912","277,846",-284,-247,-531,"139,934","137,912","277,846","139,776","137,610","277,386",-158,-302,-460,"139,776","137,610","277,386","139,438","137,404","276,842",-338,-206,-544,"139,438","137,404","276,842","139,377","137,234","276,611",-61,-170,-231,"139,377","137,234","276,611","139,181","137,136","276,317",-196,-98,-294,"139,181","137,136","276,317","138,916","136,959","275,875",-265,-177,-442,"138,916","136,959","275,875","138,705","136,774","275,479",-211,-185,-396,"138,705","136,774","275,479","138,427","136,557","274,984",-278,-217,-495,"138,427","136,557","274,984","138,475","136,436","274,911",48,-121,-73,"138,475","136,436","274,911","138,265","136,215","274,480",-210,-221,-431,"138,265","136,215","274,480","138,079","136,069","274,148",-186,-146,-332,"138,079","136,069","274,148","137,807","135,854","273,661",-272,-215,-487,"137,807","135,854","273,661","137,599","135,725","273,324",-208,-129,-337,"137,599","135,725","273,324","137,348","135,475","272,823",-251,-250,-501,"137,348","135,475","272,823","137,079","134,839","271,918",-269,-636,-905,"137,079","134,839","271,918","136,718","134,452","271,170",-361,-387,-748,"136,718","134,452","271,170","136,498","134,309","270,807",-220,-143,-363,"136,498","134,309","270,807","136,189","134,184","270,373",-309,-125,-434,"136,189","134,184","270,373","135,998","134,046","270,044",-191,-138,-329,"135,998","134,046","270,044","135,945","133,961","269,906",-53,-85,-138,"135,945","133,961","269,906","137,328","135,297","272,625","1,383","1,336","2,719"
경기도 수원시 권선구 (4111300000),"188,327","184,825","373,152","188,199","184,626","372,825",-128,-199,-327,"188,199","184,626","372,825","187,929","184,447","372,376",-270,-179,-449,"187,929","184,447","372,376","187,780","184,233","372,013",-149,-214,-363,"187,780","184,233","372,013","187,627","184,127","371,754",-153,-106,-259,"187,627","184,127","371,754","187,499","184,010","371,509",-128,-117,-245,"187,499","184,010","371,509","187,300","183,918","371,218",-199,-92,-291,"187,300","183,918","371,218","187,153","183,769","370,922",-147,-149,-296,"187,153","183,769","370,922","187,190","183,765","370,955",37,-4,33,"187,190","183,765","370,955","187,053","183,634","370,687",-137,-131,-268,"187,053","183,634","370,687","187,043","183,605","370,648",-10,-29,-39,"187,043","183,605","370,648","187,000","183,548","370,548",-43,-57,-100,"187,000","183,548","370,548","186,899","183,438","370,337",-101,-110,-211,"186,899","183,438","370,337","186,646","183,109","369,755",-253,-329,-582,"186,646","183,109","369,755","186,435","182,879","369,314",-211,-230,-441,"186,435","182,879","369,314","186,359","182,791","369,150",-76,-88,-164,"186,359","182,791","369,150","186,050","182,595","368,645",-309,-196,-505,"186,050","182,595","368,645","186,125","182,561","368,686",75,-34,41,"186,125","182,561","368,686","185,850","182,307","368,157",-275,-254,-529,"185,850","182,307","368,157","185,162","181,391","366,553",-688,-916,"-1,604","185,162","181,391","366,553","184,768","181,010","365,778",-394,-381,-775,"184,768","181,010","365,778","184,566","180,818","365,384",-202,-192,-394,"184,566","180,818","365,384","184,469","180,739","365,208",-97,-79,-176,"184,469","180,739","365,208","184,424","180,733","365,157",-45,-6,-51,"184,424","180,733","365,157","184,433","180,670","365,103",9,-63,-54,"184,433","180,670","365,103","184,206","180,465","364,671",-227,-205,-432
경기도 수원시 팔달구 (4111500000),"89,361","88,114","177,475","89,142","87,921","177,063",-219,-193,-412,"89,142","87,921","177,063","88,891","87,661","176,552",-251,-260,-511,"88,891","87,661","176,552","88,743","87,501","176,244",-148,-160,-308,"88,743","87,501","176,244","88,523","87,343","175,866",-220,-158,-378,"88,523","87,343","175,866","88,471","87,227","175,698",-52,-116,-168,"88,471","87,227","175,698","88,492","87,185","175,677",21,-42,-21,"88,492","87,185","175,677","88,411","87,122","175,533",-81,-63,-144,"88,411","87,122","175,533","88,408","87,038","175,446",-3,-84,-87,"88,408","87,038","175,446","88,354","87,042","175,396",-54,4,-50,"88,354","87,042","175,396","88,401","87,067","175,468",47,25,72,"88,401","87,067","175,468","88,324","86,923","175,247",-77,-144,-221,"88,324","86,923","175,247","88,225","86,838","175,063",-99,-85,-184,"88,225","86,838","175,063","88,094","86,785","174,879",-131,-53,-184,"88,094","86,785","174,879","87,991","86,692","174,683",-103,-93,-196,"87,991","86,692","174,683","88,067","86,642","174,709",76,-50,26,"88,067","86,642","174,709","88,180","86,750","174,930",113,108,221,"88,180","86,750","174,930","88,300","86,798","175,098",120,48,168,"88,300","86,798","175,098","89,461","87,846","177,307","1,161","1,048","2,209","89,461","87,846","177,307","91,240","89,503","180,743","1,779","1,657","3,436","91,240","89,503","180,743","92,024","90,353","182,377",784,850,"1,634","92,024","90,353","182,377","92,228","90,616","182,844",204,263,467,"92,228","90,616","182,844","92,354","90,769","183,123",126,153,279,"92,354","90,769","183,123","92,352","90,846","183,198",-2,77,75,"92,352","90,846","183,198","92,377","90,911","183,288",25,65,90,"92,377","90,911","183,288","92,230","90,695","182,925",-147,-216,-363
경기도 수원시 영통구 (4111700000),"183,370","181,373","364,743","184,178","182,189","366,367",808,816,"1,624","184,178","182,189","366,367","184,417","182,641","367,058",239,452,691,"184,417","182,641","367,058","184,731","183,048","367,779",314,407,721,"184,731","183,048","367,779","185,042","183,426","368,468",311,378,689,"185,042","183,426","368,468","185,193","183,648","368,841",151,222,373,"185,193","183,648","368,841","185,390","183,809","369,199",197,161,358,"185,390","183,809","369,199","185,548","183,917","369,465",158,108,266,"185,548","183,917","369,465","185,641","183,969","369,610",93,52,145,"185,641","183,969","369,610","185,566","184,052","369,618",-75,83,8,"185,566","184,052","369,618","185,508","184,043","369,551",-58,-9,-67,"185,508","184,043","369,551","185,690","184,280","369,970",182,237,419,"185,690","184,280","369,970","185,550","184,140","369,690",-140,-140,-280,"185,550","184,140","369,690","185,334","184,047","369,381",-216,-93,-309,"185,334","184,047","369,381","185,172","183,989","369,161",-162,-58,-220,"185,172","183,989","369,161","185,107","184,039","369,146",-65,50,-15,"185,107","184,039","369,146","185,039","183,803","368,842",-68,-236,-304,"185,039","183,803","368,842","184,894","183,739","368,633",-145,-64,-209,"184,894","183,739","368,633","184,595","183,391","367,986",-299,-348,-647,"184,595","183,391","367,986","183,909","182,861","366,770",-686,-530,"-1,216","183,909","182,861","366,770","183,626","182,581","366,207",-283,-280,-563,"183,626","182,581","366,207","183,467","182,420","365,887",-159,-161,-320,"183,467","182,420","365,887","183,257","182,249","365,506",-210,-171,-381,"183,257","182,249","365,506","183,109","182,107","365,216",-148,-142,-290,"183,109","182,107","365,216","183,055","182,067","365,122",-54,-40,-94,"183,055","182,067","365,122","182,779","181,754","364,533",-276,-313,-589
경기도 성남시 (4113000000),"468,086","477,460","945,546","467,683","477,058","944,741",-403,-402,-805,"467,683","477,058","944,741","467,031","476,554","943,585",-652,-504,"-1,156","467,031","476,554","943,585","466,737","476,192","942,929",-294,-362,-656,"466,737","476,192","942,929","466,644","476,080","942,724",-93,-112,-205,"466,644","476,080","942,724","466,582","476,067","942,649",-62,-13,-75,"466,582","476,067","942,649","466,306","475,877","942,183",-276,-190,-466,"466,306","475,877","942,183","466,115","475,573","941,688",-191,-304,-495,"466,115","475,573","941,688","466,119","475,408","941,527",4,-165,-161,"466,119","475,408","941,527","465,640","474,879","940,519",-479,-529,"-1,008","465,640","474,879","940,519","465,307","474,441","939,748",-333,-438,-771,"465,307","474,441","939,748","465,033","473,949","938,982",-274,-492,-766,"465,033","473,949","938,982","465,801","474,867","940,668",768,918,"1,686","465,801","474,867","940,668","466,232","475,551","941,783",431,684,"1,115","466,232","475,551","941,783","466,057","475,423","941,480",-175,-128,-303,"466,057","475,423","941,480","465,702","475,044","940,746",-355,-379,-734,"465,702","475,044","940,746","465,407","474,657","940,064",-295,-387,-682,"465,407","474,657","940,064","465,278","474,496","939,774",-129,-161,-290,"465,278","474,496","939,774","464,828","473,991","938,819",-450,-505,-955,"464,828","473,991","938,819","462,773","471,535","934,308","-2,055","-2,456","-4,511","462,773","471,535","934,308","462,086","470,781","932,867",-687,-754,"-1,441","462,086","470,781","932,867","461,504","470,122","931,626",-582,-659,"-1,241","461,504","470,122","931,626","461,565","470,089","931,654",61,-33,28,"461,565","470,089","931,654","461,613","470,143","931,756",48,54,102,"461,613","470,143","931,756","461,612","470,319","931,931",-1,176,175,"461,612","470,319","931,931","461,496","470,264","931,760",-116,-55,-171
경기도 성남시 수정구 (4113100000),"118,397","115,596","233,993","118,637","115,933","234,570",240,337,577,"118,637","115,933","234,570","118,705","116,095","234,800",68,162,230,"118,705","116,095","234,800","118,643","116,005","234,648",-62,-90,-152,"118,643","116,005","234,648","118,631","116,047","234,678",-12,42,30,"118,631","116,047","234,678","118,562","116,052","234,614",-69,5,-64,"118,562","116,052","234,614","118,469","115,948","234,417",-93,-104,-197,"118,469","115,948","234,417","118,479","115,942","234,421",10,-6,4,"118,479","115,942","234,421","118,680","115,973","234,653",201,31,232,"118,680","115,973","234,653","118,761","115,941","234,702",81,-32,49,"118,761","115,941","234,702","118,800","115,929","234,729",39,-12,27,"118,800","115,929","234,729","118,933","116,060","234,993",133,131,264,"118,933","116,060","234,993","120,930","118,113","239,043","1,997","2,053","4,050","120,930","118,113","239,043","122,254","119,549","241,803","1,324","1,436","2,760","122,254","119,549","241,803","122,555","119,896","242,451",301,347,648,"122,555","119,896","242,451","122,416","119,741","242,157",-139,-155,-294,"122,416","119,741","242,157","122,204","119,497","241,701",-212,-244,-456,"122,204","119,497","241,701","122,167","119,401","241,568",-37,-96,-133,"122,167","119,401","241,568","122,005","119,212","241,217",-162,-189,-351,"122,005","119,212","241,217","120,965","118,019","238,984","-1,040","-1,193","-2,233","120,965","118,019","238,984","120,625","117,711","238,336",-340,-308,-648,"120,625","117,711","238,336","120,292","117,437","237,729",-333,-274,-607,"120,292","117,437","237,729","119,857","117,016","236,873",-435,-421,-856,"119,857","117,016","236,873","119,613","116,738","236,351",-244,-278,-522,"119,613","116,738","236,351","119,326","116,394","235,720",-287,-344,-631,"119,326","116,394","235,720","119,231","116,299","235,530",-95,-95,-190
경기도 성남시 중원구 (4113300000),"112,289","109,455","221,744","112,051","109,183","221,234",-238,-272,-510,"112,051","109,183","221,234","111,771","108,966","220,737",-280,-217,-497,"111,771","108,966","220,737","111,654","108,816","220,470",-117,-150,-267,"111,654","108,816","220,470","111,444","108,597","220,041",-210,-219,-429,"111,444","108,597","220,041","111,364","108,557","219,921",-80,-40,-120,"111,364","108,557","219,921","111,214","108,405","219,619",-150,-152,-302,"111,214","108,405","219,619","111,141","108,267","219,408",-73,-138,-211,"111,141","108,267","219,408","111,002","108,153","219,155",-139,-114,-253,"111,002","108,153","219,155","110,836","107,949","218,785",-166,-204,-370,"110,836","107,949","218,785","110,657","107,828","218,485",-179,-121,-300,"110,657","107,828","218,485","110,495","107,651","218,146",-162,-177,-339,"110,495","107,651","218,146","109,907","107,062","216,969",-588,-589,"-1,177","109,907","107,062","216,969","109,575","106,804","216,379",-332,-258,-590,"109,575","106,804","216,379","109,376","106,637","216,013",-199,-167,-366,"109,376","106,637","216,013","109,362","106,613","215,975",-14,-24,-38,"109,362","106,613","215,975","109,444","106,687","216,131",82,74,156,"109,444","106,687","216,131","109,424","106,718","216,142",-20,31,11,"109,424","106,718","216,142","109,410","106,718","216,128",-14,0,-14,"109,410","106,718","216,128","109,074","106,262","215,336",-336,-456,-792,"109,074","106,262","215,336","109,100","106,214","215,314",26,-48,-22,"109,100","106,214","215,314","109,064","106,148","215,212",-36,-66,-102,"109,064","106,148","215,212","108,857","105,910","214,767",-207,-238,-445,"108,857","105,910","214,767","108,571","105,618","214,189",-286,-292,-578,"108,571","105,618","214,189","108,332","105,452","213,784",-239,-166,-405,"108,332","105,452","213,784","108,053","105,227","213,280",-279,-225,-504
경기도 성남시 분당구 (4113500000),"237,400","252,409","489,809","236,995","251,942","488,937",-405,-467,-872,"236,995","251,942","488,937","236,555","251,493","488,048",-440,-449,-889,"236,555","251,493","488,048","236,440","251,371","487,811",-115,-122,-237,"236,440","251,371","487,811","236,569","251,436","488,005",129,65,194,"236,569","251,436","488,005","236,656","251,458","488,114",87,22,109,"236,656","251,458","488,114","236,623","251,524","488,147",-33,66,33,"236,623","251,524","488,147","236,495","251,364","487,859",-128,-160,-288,"236,495","251,364","487,859","236,437","251,282","487,719",-58,-82,-140,"236,437","251,282","487,719","236,043","250,989","487,032",-394,-293,-687,"236,043","250,989","487,032","235,850","250,684","486,534",-193,-305,-498,"235,850","250,684","486,534","235,605","250,238","485,843",-245,-446,-691,"235,605","250,238","485,843","234,964","249,692","484,656",-641,-546,"-1,187","234,964","249,692","484,656","234,403","249,198","483,601",-561,-494,"-1,055","234,403","249,198","483,601","234,126","248,890","483,016",-277,-308,-585,"234,126","248,890","483,016","233,924","248,690","482,614",-202,-200,-402,"233,924","248,690","482,614","233,759","248,473","482,232",-165,-217,-382,"233,759","248,473","482,232","233,687","248,377","482,064",-72,-96,-168,"233,687","248,377","482,064","233,413","248,061","481,474",-274,-316,-590,"233,413","248,061","481,474","232,734","247,254","479,988",-679,-807,"-1,486","232,734","247,254","479,988","232,361","246,856","479,217",-373,-398,-771,"232,361","246,856","479,217","232,148","246,537","478,685",-213,-319,-532,"232,148","246,537","478,685","232,851","247,163","480,014",703,626,"1,329","232,851","247,163","480,014","233,429","247,787","481,216",578,624,"1,202","233,429","247,787","481,216","233,954","248,473","482,427",525,686,"1,211","233,954","248,473","482,427","234,212","248,738","482,950",258,265,523
